ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90011324,1/1/09,10:00:00,710,Thu,Downtown,-84.38092,33.75563,Auto Theft,Auto Theft,210 Auburn Ave Ne
90010726,1/1/09,8:00:00,311,Thu,Downtown,-84.38256,33.75734,Robbery-Pedestrian,Robbery,160 John Wesley Dobbs Ave
90020537,1/1/09,20:30:00,670,Thu,Downtown,-84.38538,33.76744,Larceny-Non Vehicle,Larceny,Peachtree St Ne / Pine St Ne
90010656,1/1/09,6:40:00,730,Thu,Downtown,-84.38556,33.76045,Auto Theft,Auto Theft,221 Peachtree Center Ave Ne
90011702,1/1/09,22:10:00,680,Thu,Downtown,-84.38625,33.76214,Larceny-Non Vehicle,Larceny,31 Baker St Ne
90151400,1/1/09,12:00:00,512,Unk,Downtown,-84.38791,33.76364,Burglary-Nonres,Burglary,330 W Peachtree St Nw
90020295,1/1/09,18:00:00,640,Fri,Downtown,-84.38808,33.7634,Larceny-From Vehicle,Larceny,15 Simpson St Nw
90010996,1/1/09,12:30:00,317,Thu,Downtown,-84.3886,33.75685,Robbery-Pedestrian,Robbery,100 Peachtree St Nw
90010373,1/1/09,2:00:00,440,Thu,Downtown,-84.3911,33.7641,Agg Assault,Agg Assault,115 W Peachtree Pl Nw
90010400,1/1/09,1:00:00,410,Thu,Downtown,-84.3912,33.75286,Agg Assault,Agg Assault,54 Peachtree St Sw
90011083,1/1/09,13:30:00,630,Thu,Downtown,-84.39201,33.7532,Larceny-Non Vehicle,Larceny,12 Broad St Sw
90011484,1/1/09,18:30:00,311,Thu,Downtown,-84.39282,33.75204,Robbery-Pedestrian,Robbery,90 Broad St Sw
90011267,1/1/09,14:00:00,640,Thu,Downtown,-84.39534,33.76464,Larceny-From Vehicle,Larceny,Ivan Allen Jr Blvd Nw / Venable St Nw
90071137,1/2/09,18:00:00,670,Fri,Downtown,-84.38198,33.75168,Larceny-Non Vehicle,Larceny,80 Jesse Hill Jr Dr Se @Grady
90020304,1/2/09,7:15:00,620,Fri,Downtown,-84.38268,33.75196,Larceny-Non Vehicle,Larceny,96 Jesse Hill Jr Dr Se
90021102,1/2/09,9:00:00,640,Fri,Downtown,-84.3867,33.75757,Larceny-From Vehicle,Larceny,133 Peachtree St Ne
90030745,1/2/09,23:30:00,640,Sat,Downtown,-84.38906,33.75903,Larceny-From Vehicle,Larceny,Spring St Nw / Carnegie Way Nw
90021139,1/2/09,16:15:00,640,Fri,Downtown,-84.38987,33.75079,Larceny-From Vehicle,Larceny,58 M.L. King Dr.
90030185,1/2/09,18:00:00,640,Fri,Downtown,-84.39005,33.74683,Larceny-From Vehicle,Larceny,76 Memorial Dr Sw
90020750,1/2/09,13:00:00,420,Fri,Downtown,-84.39174,33.75241,Agg Assault,Agg Assault,82 Peachtree St
91141115,1/2/09,23:00:00,670,Unk,Downtown,-84.39635,33.75733,Larceny-Non Vehicle,Larceny,100 Centennial Olympic P Dr Nw @Phillips Arena
90030777,1/3/09,10:30:00,640,Sat,Downtown,-84.38015,33.75434,Larceny-From Vehicle,Larceny,209 Edgewood Ave Se
90031203,1/3/09,10:00:00,690,Sat,Downtown,-84.38746,33.7604,Larceny-Non Vehicle,Larceny,229 Peachtree St Ne
90031080,1/3/09,16:25:00,640,Sat,Downtown,-84.38842,33.75492,Larceny-From Vehicle,Larceny,1 Park Pl Ne
90031412,1/3/09,10:30:00,640,Sat,Downtown,-84.38916,33.76075,Larceny-From Vehicle,Larceny,230 Spring St Nw
90031526,1/3/09,14:30:00,670,Sat,Downtown,-84.39134,33.75478,Larceny-Non Vehicle,Larceny,30 Marietta St
90030961,1/3/09,14:50:00,690,Sat,Downtown,-84.39183,33.74833,Larceny-Non Vehicle,Larceny,225 Central Ave Sw
90030999,1/3/09,15:30:00,630,Sat,Downtown,-84.39201,33.7532,Larceny-Non Vehicle,Larceny,12 Broad St Sw
90030591,1/3/09,10:20:00,630,Sat,Downtown,-84.39201,33.7532,Larceny-Non Vehicle,Larceny,12 Broad St
90031702,1/3/09,22:35:00,440,Sat,Downtown,-84.39312,33.75343,Agg Assault,Agg Assault,35 Forsyth St Sw
90040286,1/3/09,12:53:00,670,Sat,Downtown,-84.39315,33.76753,Larceny-Non Vehicle,Larceny,582 Lovejoy St Nw
90041013,1/3/09,2:45:00,511,Sat,Downtown,-84.39389,33.75027,Burglary-Residence,Burglary,167 Peachtree St
90031054,1/3/09,12:00:00,640,Sat,Downtown,-84.39443,33.76274,Larceny-From Vehicle,Larceny,225 Baker St Nw @Ga Aquarium
90151073,1/3/09,19:15:00,670,Sat,Downtown,-84.39636,33.74852,Larceny-Non Vehicle,Larceny,232 Forsyth St Sw @Greyhound Station
90041155,1/4/09,8:00:00,650,Sun,Downtown,-84.38198,33.75168,Larceny-From Vehicle,Larceny,Coca Cola @ Pratt
90041279,1/4/09,17:00:00,640,Sun,Downtown,-84.38604,33.76097,Larceny-From Vehicle,Larceny,Harris St Ne / Peachtree Center Ave Ne
90040886,1/4/09,11:50:00,640,Sun,Downtown,-84.39136,33.75698,Larceny-From Vehicle,Larceny,Walton St Nw / Cone St Nw
90050404,1/4/09,21:00:00,710,Mon,Downtown,-84.39159,33.76828,Auto Theft,Auto Theft,525 Centennial Olympic P Dr Nw
