offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
91230633,5/2/09,11:40:00,720,Unk,Sat,AUTO THEFT,Georgia Tech,-84.40212,33.77941
91320802,4/10/09,17:00:00,670,Unk,Unk,LARCENY-NON VEHICLE,Georgia Tech,-84.39421,33.7714
91831012,6/16/09,3:00:00,521,Day,Tue,BURGLARY-RESIDENCE,Georgia Tech,-84.39421,33.7714
91930363,7/12/09,2:55:00,311,Morn,Sun,ROBBERY-PEDESTRIAN,Georgia Tech,-84.39552,33.77133
92242090,8/11/09,21:45:00,640,Morn,Wed,LARCENY-FROM VEHICLE,Georgia Tech,-84.4006,33.78152
92340809,8/10/09,8:30:00,690,Unk,Unk,LARCENY-NON VEHICLE,Georgia Tech,-84.39421,33.7714
92840565,10/2/09,14:00:00,690,Eve,Fri,LARCENY-NON VEHICLE,Georgia Tech,-84.39421,33.7714
92942270,10/21/09,23:00:00,321,Morn,Wed,ROBBERY-PEDESTRIAN,Georgia Tech,-84.39189,33.78145
93141530,11/7/09,2:00:00,311,Morn,Sat,ROBBERY-PEDESTRIAN,Georgia Tech,-84.39421,33.7714
100811901,3/22/10,22:25:00,311,Eve,Mon,ROBBERY-PEDESTRIAN,Georgia Tech,-84.40608,33.78155
101681394,6/7/10,19:00:00,690,Eve,Mon,LARCENY-NON VEHICLE,Georgia Tech,-84.3921,33.7769
102381711,8/26/10,7:15:00,511,Day,Thu,BURGLARY-RESIDENCE,Georgia Tech,-84.39421,33.7714
103402163,12/6/10,6:00:00,650,Day,Mon,LARCENY-FROM VEHICLE,Georgia Tech,-84.39602,33.7815
110061907,1/6/11,17:30:00,311,Eve,Thu,ROBBERY-PEDESTRIAN,Georgia Tech,-84.40273,33.78153
110410658,2/10/11,9:15:00,410,Day,Thu,AGG ASSAULT,Georgia Tech,-84.3912,33.78153
110421479,2/11/11,12:30:00,640,Day,Fri,LARCENY-FROM VEHICLE,Georgia Tech,-84.3912,33.78153
112441232,8/31/11,12:55:00,317,Eve,Wed,ROBBERY-PEDESTRIAN,Georgia Tech,-84.39444,33.77141
113331820,11/29/11,18:30:00,620,Eve,Tue,LARCENY-NON VEHICLE,Georgia Tech,-84.39625,33.77359
120980851,4/7/12,8:30:00,690,Day,Sat,LARCENY-NON VEHICLE,Georgia Tech,-84.4006,33.78152
121121871,4/18/12,15:20:00,345,Unk,Unk,ROBBERY-RESIDENCE,Georgia Tech,-84.40212,33.77941
121601664,6/7/12,18:00:00,710,Unk,Fri,AUTO THEFT,Georgia Tech,-84.39238,33.7772
122051378,7/22/12,13:15:00,640,Unk,Mon,LARCENY-FROM VEHICLE,Georgia Tech,-84.39421,33.7714
122651539,9/20/12,5:00:00,690,Unk,Thu,LARCENY-NON VEHICLE,Georgia Tech,-84.39238,33.7772
122861479,10/11/12,0:05:00,710,Unk,Thu,AUTO THEFT,Georgia Tech,-84.39514,33.78141
123551595,12/20/12,16:00:00,410,Eve,Thu,AGG ASSAULT,Georgia Tech,-84.40212,33.77941
130540306,2/23/13,1:20:00,341,Morn,Sat,ROBBERY-PEDESTRIAN,Georgia Tech,-84.39164,33.77422
130872488,3/28/13,20:30:00,620,Eve,Thu,LARCENY-NON VEHICLE,Georgia Tech,-84.39627,33.78141
131562613,6/5/13,21:30:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Georgia Tech,-84.39536,33.78141
131900337,7/9/13,2:45:00,311,Morn,Tue,ROBBERY-PEDESTRIAN,Georgia Tech,-84.39305,33.77807
133192889,11/15/13,22:30:00,430,Eve,Fri,AGG ASSAULT,Georgia Tech,-84.40332,33.78057
133381354,12/3/13,7:30:00,640,Unk,Tue,LARCENY-FROM VEHICLE,Georgia Tech,-84.39468,33.77146
133392899,12/5/13,22:00:00,640,Eve,Thu,LARCENY-FROM VEHICLE,Georgia Tech,-84.39536,33.78141
140052201,1/5/14,22:44:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Georgia Tech,-84.39536,33.78141
141090472,4/19/14,3:16:00,640,Morn,Sat,LARCENY-FROM VEHICLE,Georgia Tech,-84.4006,33.78152
142422726,8/30/14,11:00:00,640,Eve,Sat,LARCENY-FROM VEHICLE,Georgia Tech,-84.39239,33.77415
142692142,9/26/14,15:30:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Georgia Tech,-84.40419,33.78138
142770377,10/3/14,1:40:00,640,Unk,Fri,LARCENY-FROM VEHICLE,Georgia Tech,-84.39915,33.78151
142780077,10/4/14,23:00:00,430,Morn,Sat,AGG ASSAULT,Georgia Tech,-84.39364,33.77693
142992200,10/25/14,19:00:00,640,Unk,Sun,LARCENY-FROM VEHICLE,Georgia Tech,-84.40419,33.78138
143513027,12/17/14,20:50:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Georgia Tech,-84.40362,33.78147
150242079,1/24/15,16:30:00,640,Eve,Sat,LARCENY-FROM VEHICLE,Georgia Tech,-84.40362,33.78147
150632632,3/4/15,12:05:00,640,Day,Wed,LARCENY-FROM VEHICLE,Georgia Tech,-84.40345,33.78126
151283186,5/8/15,17:30:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Georgia Tech,-84.40362,33.78147
152222580,8/10/15,18:30:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Georgia Tech,-84.39536,33.78141
