offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
90010935,1/1/09,2:00:00,710,Morn,Thu,AUTO THEFT,Home Park,-84.41115,33.78157
90020538,12/31/08,16:00:00,512,Unk,Unk,BURGLARY-NONRES,Home Park,-84.40995,33.7812
90030552,1/2/09,17:00:00,512,Morn,Sat,BURGLARY-NONRES,Home Park,-84.41391,33.78225
90031672,1/3/09,20:58:00,670,Eve,Sat,LARCENY-NON VEHICLE,Home Park,-84.39315,33.78626
90051351,1/5/09,8:30:00,650,Day,Mon,LARCENY-FROM VEHICLE,Home Park,-84.39764,33.79
90051667,12/5/08,16:00:00,710,Unk,Unk,AUTO THEFT,Home Park,-84.39889,33.78306
90070455,1/5/09,23:00:00,650,Morn,Tue,LARCENY-FROM VEHICLE,Home Park,-84.40782,33.78697
90072341,1/7/09,21:00:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Home Park,-84.41206,33.78406
90091772,1/9/09,19:55:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Home Park,-84.40707,33.7819
90100029,1/9/09,22:30:00,640,Morn,Fri,LARCENY-FROM VEHICLE,Home Park,-84.41436,33.78251
90100483,1/10/09,7:28:00,690,Day,Sat,LARCENY-NON VEHICLE,Home Park,-84.41015,33.78016
90120362,1/9/09,17:00:00,512,Unk,Unk,BURGLARY-NONRES,Home Park,-84.39241,33.7873
90141695,1/14/09,17:00:00,650,Eve,Wed,LARCENY-FROM VEHICLE,Home Park,-84.41167,33.78257
90181185,1/18/09,16:30:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Home Park,-84.41016,33.78326
90181248,1/18/09,1:00:00,640,Unk,Sun,LARCENY-FROM VEHICLE,Home Park,-84.40387,33.7883
90190386,1/16/09,17:20:00,512,Unk,Unk,BURGLARY-NONRES,Home Park,-84.39347,33.7867
90190531,1/19/09,8:00:00,640,Day,Mon,LARCENY-FROM VEHICLE,Home Park,-84.41137,33.78201
90201688,1/20/09,19:15:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Home Park,-84.39849,33.78474
90220260,1/22/09,4:48:00,512,Morn,Thu,BURGLARY-NONRES,Home Park,-84.40757,33.7804
90221330,1/16/09,12:00:00,650,Unk,Unk,LARCENY-FROM VEHICLE,Home Park,-84.41125,33.78318
90221532,1/22/09,16:15:00,511,Eve,Thu,BURGLARY-RESIDENCE,Home Park,-84.40513,33.78499
90221700,1/22/09,18:00:00,670,Eve,Thu,LARCENY-NON VEHICLE,Home Park,-84.41015,33.78016
90230485,1/22/09,19:00:00,640,Morn,Fri,LARCENY-FROM VEHICLE,Home Park,-84.41015,33.78016
90230885,1/23/09,10:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Home Park,-84.40114,33.78629
90240728,1/23/09,22:30:00,720,Morn,Sat,AUTO THEFT,Home Park,-84.40757,33.78366
90241734,1/24/09,19:40:00,660,Eve,Sat,LARCENY-NON VEHICLE,Home Park,-84.40683,33.78454
90250972,1/24/09,20:00:00,650,Unk,Sun,LARCENY-FROM VEHICLE,Home Park,-84.41198,33.78226
90260806,1/26/09,11:30:00,650,Day,Mon,LARCENY-FROM VEHICLE,Home Park,-84.39985,33.78449
90261061,1/23/09,17:00:00,670,Unk,Unk,LARCENY-NON VEHICLE,Home Park,-84.39313,33.78891
90280908,1/27/09,20:00:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Home Park,-84.39674,33.78159
90290168,1/28/09,22:00:00,640,Morn,Wed,LARCENY-FROM VEHICLE,Home Park,-84.4119,33.78345
90290363,1/28/09,17:00:00,522,Morn,Thu,BURGLARY-NONRES,Home Park,-84.40954,33.78553
90292098,1/29/09,21:00:00,640,Eve,Thu,LARCENY-FROM VEHICLE,Home Park,-84.40711,33.78536
90301135,1/29/09,22:00:00,640,Unk,Fri,LARCENY-FROM VEHICLE,Home Park,-84.39696,33.78907
90301353,1/30/09,12:00:00,511,Day,Fri,BURGLARY-RESIDENCE,Home Park,-84.40758,33.78194
90310936,1/30/09,22:00:00,512,Morn,Sat,BURGLARY-NONRES,Home Park,-84.40089,33.78189
90320084,2/1/09,0:37:00,311,Morn,Sun,ROBBERY-PEDESTRIAN,Home Park,-84.39981,33.7862
90330741,1/10/09,12:00:00,511,Unk,Unk,BURGLARY-RESIDENCE,Home Park,-84.40758,33.78194
90340014,2/3/09,0:09:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Home Park,-84.39874,33.78619
90380138,2/6/09,19:00:00,532,Eve,Fri,BURGLARY-NONRES,Home Park,-84.41109,33.78099
90381507,2/7/09,16:00:00,640,Eve,Sat,LARCENY-FROM VEHICLE,Home Park,-84.41145,33.78257
90400513,2/8/09,23:25:00,512,Morn,Sun,BURGLARY-NONRES,Home Park,-84.40438,33.7822
90401980,2/9/09,21:20:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Home Park,-84.39923,33.78172
90440286,2/13/09,3:20:00,512,Morn,Fri,BURGLARY-NONRES,Home Park,-84.40438,33.7822
90440468,2/12/09,16:30:00,640,Morn,Fri,LARCENY-FROM VEHICLE,Home Park,-84.39393,33.78984
90451083,2/13/09,15:00:00,640,Unk,Sat,LARCENY-FROM VEHICLE,Home Park,-84.40757,33.78107
