ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90020649,1/1/09,23:00:00,710,Fri,Midtown,-84.37169,33.77878,Auto Theft,Auto Theft,886 Vedado Way Ne
90020427,1/1/09,21:00:00,640,Fri,Midtown,-84.37521,33.7797,Larceny-From Vehicle,Larceny,368 8Th St Ne
90020813,1/1/09,22:00:00,720,Fri,Midtown,-84.38059,33.77762,Auto Theft,Auto Theft,835 Piedmont Ave Ne
92231901,1/1/09,12:00:00,511,Unk,Midtown,-84.38402,33.78041,Burglary-Residence,Burglary,943 Peachtree St
90011592,1/1/09,12:00:00,640,Thu,Midtown,-84.3873,33.77754,Larceny-From Vehicle,Larceny,6Th St Ne / W Peachtree St Ne
90020011,1/1/09,20:00:00,640,Thu,Midtown,-84.38975,33.77487,Larceny-From Vehicle,Larceny,76 4Th St Nw
90021179,1/2/09,15:15:00,660,Fri,Midtown,-84.36561,33.77469,Larceny-Non Vehicle,Larceny,650 Ponce De Leon Ave Ne
90021346,1/2/09,18:35:00,690,Fri,Midtown,-84.3676,33.77973,Larceny-Non Vehicle,Larceny,931 Monroe Dr Ne
90020945,1/2/09,1:00:00,650,Fri,Midtown,-84.3707,33.77526,Larceny-From Vehicle,Larceny,767 Monroe Dr Ne
90030504,1/2/09,18:00:00,640,Sat,Midtown,-84.37506,33.77899,Larceny-From Vehicle,Larceny,895 Durant Place Ne
90030701,1/2/09,19:00:00,640,Sat,Midtown,-84.37509,33.77592,Larceny-From Vehicle,Larceny,375 6Th St. Ne.
90021445,1/2/09,12:00:00,640,Fri,Midtown,-84.37941,33.78179,Larceny-From Vehicle,Larceny,Myrtle St Ne / 10Th St Ne
90030818,1/2/09,10:00:00,650,Fri,Midtown,-84.37965,33.78118,Larceny-From Vehicle,Larceny,972 Myrtle Street
90030120,1/2/09,20:30:00,640,Fri,Midtown,-84.38058,33.78461,Larceny-From Vehicle,Larceny,208 12Th St Ne
90030687,1/2/09,22:00:00,640,Sat,Midtown,-84.38169,33.77346,Larceny-From Vehicle,Larceny,3Rd St Ne / Piedmont Ave Ne
90021829,1/2/09,10:00:00,690,Fri,Midtown,-84.38604,33.78155,Larceny-Non Vehicle,Larceny,44 10Th St Ne
90021128,1/2/09,9:00:00,640,Fri,Midtown,-84.38742,33.77524,Larceny-From Vehicle,Larceny,754 W Peachtree St Nw
90020046,1/2/09,0:05:00,420,Fri,Midtown,-84.38894,33.7817,Agg Assault,Agg Assault,989 Spring St Nw
90030102,1/3/09,0:00:00,710,Sat,Midtown,-84.36851,33.77917,Auto Theft,Auto Theft,897 Monroe Cir Ne
90040520,1/3/09,22:00:00,521,Sun,Midtown,-84.3762,33.77523,Burglary-Residence,Burglary,345 5Th St Ne
90031489,1/3/09,18:45:00,640,Sat,Midtown,-84.38095,33.78113,Larceny-From Vehicle,Larceny,970 Piedmont Ave Ne
90030247,1/3/09,3:00:00,410,Sat,Midtown,-84.38569,33.78553,Agg Assault,Agg Assault,57 13Th St Ne
90031565,1/3/09,21:15:00,710,Sat,Midtown,-84.38718,33.77773,Auto Theft,Auto Theft,855 W Peachtree St
90040732,1/3/09,0:15:00,650,Sat,Midtown,-84.38782,33.78572,Larceny-From Vehicle,Larceny,West Peachtree @13Th
90280733,1/4/09,20:00:00,720,Mon,Midtown,-84.371,33.79392,Auto Theft,Auto Theft,268 Westminster Dr
90040178,1/4/09,2:00:00,311,Sun,Midtown,-84.37885,33.77454,Robbery-Pedestrian,Robbery,4Th St Ne / Penn Ave Ne
90040187,1/4/09,2:00:00,311,Sun,Midtown,-84.37971,33.77823,Robbery-Pedestrian,Robbery,7Th St Ne / Myrtle St Ne
90040512,1/4/09,9:10:00,512,Sun,Midtown,-84.38008,33.77267,Burglary-Nonres,Burglary,216 Ponce De Leon Ave
90041183,1/4/09,17:00:00,640,Sun,Midtown,-84.38735,33.77229,Larceny-From Vehicle,Larceny,W Peachtree St Ne / Ponce De Leon Ave Ne
90051398,1/5/09,10:00:00,690,Mon,Midtown,-84.36561,33.77469,Larceny-Non Vehicle,Larceny,650 Ponce
90051826,1/5/09,22:10:00,311,Mon,Midtown,-84.37756,33.77658,Robbery-Pedestrian,Robbery,811 Argonne Ave Ne
90051787,1/5/09,20:15:00,640,Mon,Midtown,-84.37958,33.78331,Larceny-From Vehicle,Larceny,12Th St Ne / Piedmont Ave Ne
90060643,1/5/09,18:00:00,690,Tue,Midtown,-84.38298,33.78099,Larceny-Non Vehicle,Larceny,199 12Th St
90060991,1/5/09,14:00:00,670,Tue,Midtown,-84.38412,33.774,Larceny-Non Vehicle,Larceny,715 Peachtree St Ne
90061581,1/5/09,23:30:00,640,Tue,Midtown,-84.38494,33.78464,Larceny-From Vehicle,Larceny,84 12Th St Ne
90051845,1/5/09,19:30:00,640,Mon,Midtown,-84.38533,33.77831,Larceny-From Vehicle,Larceny,860 Peachtree St Ne
90050663,1/5/09,9:15:00,640,Mon,Midtown,-84.38771,33.79858,Larceny-From Vehicle,Larceny,Inwood Cir / West Peachtree Street
90120763,1/5/09,16:00:00,690,Unk,Midtown,-84.38925,33.78668,Larceny-Non Vehicle,Larceny,Spring St Nw / 14Th St Nw
90061894,1/6/09,19:54:00,640,Tue,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
