offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
83430697,12/8/08,11:30:00,410,Day,Mon,AGG ASSAULT,Midtown,-84.36561,33.77469
90010917,12/31/08,19:15:00,640,Unk,Thu,LARCENY-FROM VEHICLE,Midtown,-84.37334,33.7808
90011049,12/31/08,17:00:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Midtown,-84.38139,33.78663
90011054,12/29/08,17:00:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Midtown,-84.36851,33.77917
90011185,12/31/08,0:30:00,690,Unk,Wed,LARCENY-NON VEHICLE,Midtown,-84.3837,33.78595
90011592,1/1/09,12:00:00,640,Eve,Thu,LARCENY-FROM VEHICLE,Midtown,-84.3873,33.77754
90020011,1/1/09,20:00:00,640,Eve,Thu,LARCENY-FROM VEHICLE,Midtown,-84.38975,33.77487
90020046,1/2/09,0:05:00,420,Morn,Fri,AGG ASSAULT,Midtown,-84.38894,33.7817
90020427,1/1/09,21:00:00,640,Morn,Fri,LARCENY-FROM VEHICLE,Midtown,-84.37521,33.7797
90020649,1/1/09,23:00:00,710,Morn,Fri,AUTO THEFT,Midtown,-84.37169,33.77878
90020724,12/31/08,22:00:00,640,Morn,Thu,LARCENY-FROM VEHICLE,Midtown,-84.38768,33.77894
90020796,12/1/08,12:00:00,511,Unk,Unk,BURGLARY-RESIDENCE,Midtown,-84.36995,33.77435
90020813,1/1/09,22:00:00,720,Morn,Fri,AUTO THEFT,Midtown,-84.38059,33.77762
90020945,1/2/09,1:00:00,650,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.3707,33.77526
90021128,1/2/09,9:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38742,33.77524
90021179,1/2/09,15:15:00,660,Eve,Fri,LARCENY-NON VEHICLE,Midtown,-84.36561,33.77469
90021334,12/30/08,21:45:00,610,Eve,Tue,LARCENY-NON VEHICLE,Midtown,-84.37897,33.78384
90021346,1/2/09,18:35:00,690,Eve,Fri,LARCENY-NON VEHICLE,Midtown,-84.3676,33.77973
90021445,1/2/09,12:00:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Midtown,-84.37941,33.78179
90021829,1/2/09,10:00:00,690,Eve,Fri,LARCENY-NON VEHICLE,Midtown,-84.38604,33.78155
90030102,1/3/09,0:00:00,710,Morn,Sat,AUTO THEFT,Midtown,-84.36851,33.77917
90030120,1/2/09,20:30:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38058,33.78461
90030247,1/3/09,3:00:00,410,Morn,Sat,AGG ASSAULT,Midtown,-84.38569,33.78553
90030504,1/2/09,18:00:00,640,Morn,Sat,LARCENY-FROM VEHICLE,Midtown,-84.37506,33.77899
90030687,1/2/09,22:00:00,640,Morn,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38169,33.77346
90030701,1/2/09,19:00:00,640,Unk,Sat,LARCENY-FROM VEHICLE,Midtown,-84.37509,33.77592
90030818,1/2/09,10:00:00,650,Unk,Fri,LARCENY-FROM VEHICLE,Midtown,-84.37965,33.78118
90031489,1/3/09,18:45:00,640,Eve,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38095,33.78113
90031565,1/3/09,21:15:00,710,Eve,Sat,AUTO THEFT,Midtown,-84.38718,33.77773
90040178,1/4/09,2:00:00,311,Morn,Sun,ROBBERY-PEDESTRIAN,Midtown,-84.37885,33.77454
90040187,1/4/09,2:00:00,311,Morn,Sun,ROBBERY-PEDESTRIAN,Midtown,-84.37971,33.77823
90040459,12/12/08,18:30:00,640,Unk,Unk,LARCENY-FROM VEHICLE,Midtown,-84.38789,33.7892
90040512,1/4/09,9:10:00,512,Day,Sun,BURGLARY-NONRES,Midtown,-84.38008,33.77267
90040520,1/3/09,22:00:00,521,Morn,Sun,BURGLARY-RESIDENCE,Midtown,-84.3762,33.77523
90040732,1/3/09,0:15:00,650,Unk,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38782,33.78572
90040976,12/18/08,12:00:00,640,Unk,Unk,LARCENY-FROM VEHICLE,Midtown,-84.38382,33.77248
90041183,1/4/09,17:00:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Midtown,-84.38735,33.77229
90050663,1/5/09,9:15:00,640,Day,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38771,33.79858
90050992,9/1/08,12:00:00,610,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.38401,33.78171
90051398,1/5/09,10:00:00,690,Day,Mon,LARCENY-NON VEHICLE,Midtown,-84.36561,33.77469
90051787,1/5/09,20:15:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.37958,33.78331
90051826,1/5/09,22:10:00,311,Eve,Mon,ROBBERY-PEDESTRIAN,Midtown,-84.37756,33.77658
90051845,1/5/09,19:30:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38533,33.77831
90060643,1/5/09,18:00:00,690,Morn,Tue,LARCENY-NON VEHICLE,Midtown,-84.38298,33.78099
90060991,1/5/09,14:00:00,670,Unk,Tue,LARCENY-NON VEHICLE,Midtown,-84.38412,33.774
90061132,1/6/09,13:45:00,640,Day,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38221,33.77923
90061581,1/5/09,23:30:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38494,33.78464
90061894,1/6/09,19:54:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90062020,1/6/09,21:00:00,311,Eve,Tue,ROBBERY-PEDESTRIAN,Midtown,-84.37451,33.77556
90071513,12/23/08,12:00:00,660,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.38045,33.77402
90080339,1/7/09,22:00:00,710,Morn,Thu,AUTO THEFT,Midtown,-84.38013,33.77492
90080348,1/7/09,18:00:00,640,Morn,Thu,LARCENY-FROM VEHICLE,Midtown,-84.37368,33.77554
90080951,1/7/09,0:00:00,710,Morn,Wed,AUTO THEFT,Midtown,-84.38286,33.77825
90081083,1/8/09,11:00:00,640,Day,Thu,LARCENY-FROM VEHICLE,Midtown,-84.38497,33.7727
